C:\Users\ZhouXunZhe\PycharmProjects\K-nn\venv\Scripts\python.exe C:/Users/ZhouXunZhe/PycharmProjects/K-nn/test.py
0 numbers imported
2000 numbers imported
4000 numbers imported
6000 numbers imported
8000 numbers imported
10000 numbers imported
12000 numbers imported
14000 numbers imported
16000 numbers imported
18000 numbers imported
20000 numbers imported
22000 numbers imported
24000 numbers imported
26000 numbers imported
28000 numbers imported
30000 numbers imported
32000 numbers imported
34000 numbers imported
36000 numbers imported
38000 numbers imported
40000 numbers imported
42000 numbers imported
44000 numbers imported
46000 numbers imported
48000 numbers imported
50000 numbers imported
52000 numbers imported
54000 numbers imported
56000 numbers imported
58000 numbers imported
59999 numbers imported
0 numbers imported
2000 numbers imported
4000 numbers imported
6000 numbers imported
8000 numbers imported
9999 numbers imported
the NO.0 classifier came back with: 7, the real answer is: 7, error count is: 0
the NO.4900 classifier came back with: 7, the real answer is: 7, error count is: 203
the NO.4901 classifier came back with: 9, the real answer is: 9, error count is: 203
the NO.4902 classifier came back with: 5, the real answer is: 5, error count is: 203
the NO.4903 classifier came back with: 1, the real answer is: 1, error count is: 203
the NO.4904 classifier came back with: 3, the real answer is: 3, error count is: 203
the NO.4905 classifier came back with: 2, the real answer is: 2, error count is: 203
the NO.4906 classifier came back with: 4, the real answer is: 4, error count is: 203
the NO.4907 classifier came back with: 3, the real answer is: 3, error count is: 203
the NO.4908 classifier came back with: 6, the real answer is: 6, error count is: 203
the NO.4909 classifier came back with: 1, the real answer is: 1, error count is: 203
the NO.4910 classifier came back with: 9, the real answer is: 9, error count is: 203
the NO.4911 classifier came back with: 9, the real answer is: 4, error count is: 203
the NO.4912 classifier came back with: 4, the real answer is: 4, error count is: 204
the NO.4913 classifier came back with: 7, the real answer is: 7, error count is: 204
the NO.4914 classifier came back with: 6, the real answer is: 6, error count is: 204
the NO.4915 classifier came back with: 5, the real answer is: 5, error count is: 204
the NO.4916 classifier came back with: 4, the real answer is: 4, error count is: 204
the NO.4917 classifier came back with: 1, the real answer is: 1, error count is: 204
the NO.4918 classifier came back with: 9, the real answer is: 9, error count is: 204
the NO.4919 classifier came back with: 9, the real answer is: 9, error count is: 204
the NO.4920 classifier came back with: 2, the real answer is: 2, error count is: 204
the NO.4921 classifier came back with: 7, the real answer is: 7, error count is: 204
the NO.4922 classifier came back with: 8, the real answer is: 8, error count is: 204
the NO.4923 classifier came back with: 0, the real answer is: 0, error count is: 204
the NO.4924 classifier came back with: 1, the real answer is: 1, error count is: 204
the NO.4925 classifier came back with: 3, the real answer is: 3, error count is: 204
the NO.4926 classifier came back with: 6, the real answer is: 6, error count is: 204
the NO.4927 classifier came back with: 1, the real answer is: 1, error count is: 204
the NO.4928 classifier came back with: 3, the real answer is: 3, error count is: 204
the NO.4929 classifier came back with: 4, the real answer is: 4, error count is: 204
the NO.4930 classifier came back with: 1, the real answer is: 1, error count is: 204
the NO.4931 classifier came back with: 1, the real answer is: 1, error count is: 204
the NO.4932 classifier came back with: 1, the real answer is: 1, error count is: 204
the NO.4933 classifier came back with: 5, the real answer is: 5, error count is: 204
the NO.4934 classifier came back with: 6, the real answer is: 6, error count is: 204
the NO.4935 classifier came back with: 0, the real answer is: 0, error count is: 204
the NO.4936 classifier came back with: 7, the real answer is: 7, error count is: 204
the NO.4937 classifier came back with: 0, the real answer is: 0, error count is: 204
the NO.4938 classifier came back with: 7, the real answer is: 7, error count is: 204
the NO.4939 classifier came back with: 2, the real answer is: 2, error count is: 204
the NO.4940 classifier came back with: 3, the real answer is: 3, error count is: 204
the NO.4941 classifier came back with: 2, the real answer is: 2, error count is: 204
the NO.4942 classifier came back with: 5, the real answer is: 5, error count is: 204
the NO.4943 classifier came back with: 2, the real answer is: 2, error count is: 204
the NO.4944 classifier came back with: 2, the real answer is: 2, error count is: 204
the NO.4945 classifier came back with: 9, the real answer is: 9, error count is: 204
the NO.4946 classifier came back with: 4, the real answer is: 4, error count is: 204
the NO.4947 classifier came back with: 9, the real answer is: 9, error count is: 204
the NO.4948 classifier came back with: 8, the real answer is: 8, error count is: 204
the NO.4949 classifier came back with: 1, the real answer is: 1, error count is: 204
the NO.4950 classifier came back with: 2, the real answer is: 2, error count is: 204
the NO.4951 classifier came back with: 1, the real answer is: 1, error count is: 204
the NO.4952 classifier came back with: 6, the real answer is: 6, error count is: 204
the NO.4953 classifier came back with: 1, the real answer is: 1, error count is: 204
the NO.4954 classifier came back with: 2, the real answer is: 2, error count is: 204
the NO.4955 classifier came back with: 7, the real answer is: 7, error count is: 204
the NO.4956 classifier came back with: 8, the real answer is: 8, error count is: 204
the NO.4957 classifier came back with: 0, the real answer is: 0, error count is: 204
the NO.4958 classifier came back with: 0, the real answer is: 0, error count is: 204
the NO.4959 classifier came back with: 0, the real answer is: 0, error count is: 204
the NO.4960 classifier came back with: 8, the real answer is: 8, error count is: 204
the NO.4961 classifier came back with: 2, the real answer is: 2, error count is: 204
the NO.4962 classifier came back with: 2, the real answer is: 2, error count is: 204
the NO.4963 classifier came back with: 9, the real answer is: 9, error count is: 204
the NO.4964 classifier came back with: 2, the real answer is: 2, error count is: 204
the NO.4965 classifier came back with: 2, the real answer is: 2, error count is: 204
the NO.4966 classifier came back with: 1, the real answer is: 7, error count is: 204
the NO.4967 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.4968 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.4969 classifier came back with: 2, the real answer is: 2, error count is: 205
the NO.4970 classifier came back with: 7, the real answer is: 7, error count is: 205
the NO.4971 classifier came back with: 5, the real answer is: 5, error count is: 205
the NO.4972 classifier came back with: 1, the real answer is: 1, error count is: 205
the NO.4973 classifier came back with: 3, the real answer is: 3, error count is: 205
the NO.4974 classifier came back with: 4, the real answer is: 4, error count is: 205
the NO.4975 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.4976 classifier came back with: 4, the real answer is: 4, error count is: 205
the NO.4977 classifier came back with: 1, the real answer is: 1, error count is: 205
the NO.4978 classifier came back with: 8, the real answer is: 8, error count is: 205
the NO.4979 classifier came back with: 5, the real answer is: 5, error count is: 205
the NO.4980 classifier came back with: 6, the real answer is: 6, error count is: 205
the NO.4981 classifier came back with: 2, the real answer is: 2, error count is: 205
the NO.4982 classifier came back with: 8, the real answer is: 8, error count is: 205
the NO.4983 classifier came back with: 3, the real answer is: 3, error count is: 205
the NO.4984 classifier came back with: 1, the real answer is: 1, error count is: 205
the NO.4985 classifier came back with: 2, the real answer is: 2, error count is: 205
the NO.4986 classifier came back with: 8, the real answer is: 8, error count is: 205
the NO.4987 classifier came back with: 4, the real answer is: 4, error count is: 205
the NO.4988 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.4989 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.4990 classifier came back with: 3, the real answer is: 3, error count is: 205
the NO.4991 classifier came back with: 7, the real answer is: 7, error count is: 205
the NO.4992 classifier came back with: 0, the real answer is: 0, error count is: 205
the NO.4993 classifier came back with: 7, the real answer is: 7, error count is: 205
the NO.4994 classifier came back with: 7, the real answer is: 7, error count is: 205
the NO.4995 classifier came back with: 2, the real answer is: 2, error count is: 205
the NO.4996 classifier came back with: 3, the real answer is: 3, error count is: 205
the NO.4997 classifier came back with: 2, the real answer is: 2, error count is: 205
the NO.4998 classifier came back with: 4, the real answer is: 4, error count is: 205
the NO.4999 classifier came back with: 0, the real answer is: 0, error count is: 205
the NO.5000 classifier came back with: 3, the real answer is: 3, error count is: 205
the NO.5001 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.5002 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.5003 classifier came back with: 8, the real answer is: 8, error count is: 205
the NO.5004 classifier came back with: 4, the real answer is: 4, error count is: 205
the NO.5005 classifier came back with: 1, the real answer is: 1, error count is: 205
the NO.5006 classifier came back with: 0, the real answer is: 0, error count is: 205
the NO.5007 classifier came back with: 6, the real answer is: 6, error count is: 205
the NO.5008 classifier came back with: 0, the real answer is: 0, error count is: 205
the NO.5009 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.5010 classifier came back with: 6, the real answer is: 6, error count is: 205
the NO.5011 classifier came back with: 8, the real answer is: 8, error count is: 205
the NO.5012 classifier came back with: 6, the real answer is: 6, error count is: 205
the NO.5013 classifier came back with: 1, the real answer is: 1, error count is: 205
the NO.5014 classifier came back with: 1, the real answer is: 1, error count is: 205
the NO.5015 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.5016 classifier came back with: 8, the real answer is: 8, error count is: 205
the NO.5017 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.5018 classifier came back with: 2, the real answer is: 2, error count is: 205
the NO.5019 classifier came back with: 3, the real answer is: 3, error count is: 205
the NO.5020 classifier came back with: 5, the real answer is: 5, error count is: 205
the NO.5021 classifier came back with: 5, the real answer is: 5, error count is: 205
the NO.5022 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.5023 classifier came back with: 4, the real answer is: 4, error count is: 205
the NO.5024 classifier came back with: 2, the real answer is: 2, error count is: 205
the NO.5025 classifier came back with: 1, the real answer is: 1, error count is: 205
the NO.5026 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.5027 classifier came back with: 4, the real answer is: 4, error count is: 205
the NO.5028 classifier came back with: 3, the real answer is: 3, error count is: 205
the NO.5029 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.5030 classifier came back with: 6, the real answer is: 6, error count is: 205
the NO.5031 classifier came back with: 0, the real answer is: 0, error count is: 205
the NO.5032 classifier came back with: 4, the real answer is: 4, error count is: 205
the NO.5033 classifier came back with: 0, the real answer is: 0, error count is: 205
the NO.5034 classifier came back with: 6, the real answer is: 6, error count is: 205
the NO.5035 classifier came back with: 0, the real answer is: 0, error count is: 205
the NO.5036 classifier came back with: 1, the real answer is: 1, error count is: 205
the NO.5037 classifier came back with: 2, the real answer is: 2, error count is: 205
the NO.5038 classifier came back with: 3, the real answer is: 3, error count is: 205
the NO.5039 classifier came back with: 4, the real answer is: 4, error count is: 205
the NO.5040 classifier came back with: 7, the real answer is: 7, error count is: 205
the NO.5041 classifier came back with: 8, the real answer is: 8, error count is: 205
the NO.5042 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.5043 classifier came back with: 0, the real answer is: 0, error count is: 205
the NO.5044 classifier came back with: 1, the real answer is: 1, error count is: 205
the NO.5045 classifier came back with: 2, the real answer is: 2, error count is: 205
the NO.5046 classifier came back with: 3, the real answer is: 3, error count is: 205
the NO.5047 classifier came back with: 4, the real answer is: 4, error count is: 205
the NO.5048 classifier came back with: 7, the real answer is: 7, error count is: 205
the NO.5049 classifier came back with: 8, the real answer is: 8, error count is: 205
the NO.5050 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.5051 classifier came back with: 0, the real answer is: 0, error count is: 205
the NO.5052 classifier came back with: 1, the real answer is: 1, error count is: 205
the NO.5053 classifier came back with: 2, the real answer is: 2, error count is: 205
the NO.5054 classifier came back with: 3, the real answer is: 3, error count is: 205
the NO.5055 classifier came back with: 4, the real answer is: 4, error count is: 205
the NO.5056 classifier came back with: 5, the real answer is: 5, error count is: 205
the NO.5057 classifier came back with: 6, the real answer is: 6, error count is: 205
the NO.5058 classifier came back with: 7, the real answer is: 7, error count is: 205
the NO.5059 classifier came back with: 8, the real answer is: 8, error count is: 205
the NO.5060 classifier came back with: 9, the real answer is: 9, error count is: 205
the NO.5061 classifier came back with: 8, the real answer is: 8, error count is: 205
the NO.5062 classifier came back with: 3, the real answer is: 3, error count is: 205
the NO.5063 classifier came back with: 4, the real answer is: 4, error count is: 205
the NO.5064 classifier came back with: 7, the real answer is: 7, error count is: 205
the NO.5065 classifier came back with: 8, the real answer is: 8, error count is: 205
the NO.5066 classifier came back with: 6, the real answer is: 6, error count is: 205
the NO.5067 classifier came back with: 2, the real answer is: 3, error count is: 205
the NO.5068 classifier came back with: 4, the real answer is: 4, error count is: 206
the NO.5069 classifier came back with: 0, the real answer is: 0, error count is: 206
the NO.5070 classifier came back with: 9, the real answer is: 9, error count is: 206
the NO.5071 classifier came back with: 7, the real answer is: 7, error count is: 206
the NO.5072 classifier came back with: 1, the real answer is: 1, error count is: 206
the NO.5073 classifier came back with: 9, the real answer is: 9, error count is: 206
the NO.5074 classifier came back with: 3, the real answer is: 3, error count is: 206
the NO.5075 classifier came back with: 8, the real answer is: 8, error count is: 206
the NO.5076 classifier came back with: 4, the real answer is: 4, error count is: 206
the NO.5077 classifier came back with: 7, the real answer is: 7, error count is: 206
the NO.5078 classifier came back with: 3, the real answer is: 3, error count is: 206
the NO.5079 classifier came back with: 0, the real answer is: 0, error count is: 206
the NO.5080 classifier came back with: 9, the real answer is: 9, error count is: 206
the NO.5081 classifier came back with: 1, the real answer is: 1, error count is: 206
the NO.5082 classifier came back with: 4, the real answer is: 4, error count is: 206
the NO.5083 classifier came back with: 5, the real answer is: 5, error count is: 206
the NO.5084 classifier came back with: 4, the real answer is: 4, error count is: 206
the NO.5085 classifier came back with: 6, the real answer is: 6, error count is: 206
the NO.5086 classifier came back with: 2, the real answer is: 2, error count is: 206
the NO.5087 classifier came back with: 0, the real answer is: 0, error count is: 206
the NO.5088 classifier came back with: 6, the real answer is: 6, error count is: 206
the NO.5089 classifier came back with: 2, the real answer is: 2, error count is: 206
the NO.5090 classifier came back with: 1, the real answer is: 1, error count is: 206
the NO.5091 classifier came back with: 1, the real answer is: 1, error count is: 206
the NO.5092 classifier came back with: 1, the real answer is: 1, error count is: 206
the NO.5093 classifier came back with: 1, the real answer is: 1, error count is: 206
the NO.5094 classifier came back with: 7, the real answer is: 7, error count is: 206
the NO.5095 classifier came back with: 2, the real answer is: 2, error count is: 206
the NO.5096 classifier came back with: 4, the real answer is: 4, error count is: 206
the NO.5097 classifier came back with: 7, the real answer is: 7, error count is: 206
the NO.5098 classifier came back with: 5, the real answer is: 5, error count is: 206
the NO.5099 classifier came back with: 2, the real answer is: 2, error count is: 206
the NO.5100 classifier came back with: 9, the real answer is: 9, error count is: 206
the NO.5101 classifier came back with: 4, the real answer is: 4, error count is: 206
the NO.5102 classifier came back with: 5, the real answer is: 5, error count is: 206
the NO.5103 classifier came back with: 8, the real answer is: 8, error count is: 206
the NO.5104 classifier came back with: 4, the real answer is: 4, error count is: 206
the NO.5105 classifier came back with: 2, the real answer is: 2, error count is: 206
the NO.5106 classifier came back with: 9, the real answer is: 9, error count is: 206
the NO.5107 classifier came back with: 7, the real answer is: 7, error count is: 206
the NO.5108 classifier came back with: 0, the real answer is: 0, error count is: 206
the NO.5109 classifier came back with: 0, the real answer is: 0, error count is: 206
the NO.5110 classifier came back with: 7, the real answer is: 7, error count is: 206
the NO.5111 classifier came back with: 5, the real answer is: 5, error count is: 206
the NO.5112 classifier came back with: 1, the real answer is: 1, error count is: 206
the NO.5113 classifier came back with: 1, the real answer is: 1, error count is: 206
the NO.5114 classifier came back with: 7, the real answer is: 7, error count is: 206
the NO.5115 classifier came back with: 6, the real answer is: 6, error count is: 206
the NO.5116 classifier came back with: 6, the real answer is: 6, error count is: 206
the NO.5117 classifier came back with: 6, the real answer is: 6, error count is: 206
the NO.5118 classifier came back with: 8, the real answer is: 8, error count is: 206
the NO.5119 classifier came back with: 2, the real answer is: 2, error count is: 206
the NO.5120 classifier came back with: 2, the real answer is: 2, error count is: 206
the NO.5121 classifier came back with: 7, the real answer is: 7, error count is: 206
the NO.5122 classifier came back with: 7, the real answer is: 7, error count is: 206
the NO.5123 classifier came back with: 4, the real answer is: 4, error count is: 206
the NO.5124 classifier came back with: 0, the real answer is: 0, error count is: 206
the NO.5125 classifier came back with: 2, the real answer is: 2, error count is: 206
the NO.5126 classifier came back with: 4, the real answer is: 4, error count is: 206
the NO.5127 classifier came back with: 2, the real answer is: 2, error count is: 206
the NO.5128 classifier came back with: 1, the real answer is: 1, error count is: 206
the NO.5129 classifier came back with: 8, the real answer is: 8, error count is: 206
the NO.5130 classifier came back with: 9, the real answer is: 9, error count is: 206
the NO.5131 classifier came back with: 6, the real answer is: 6, error count is: 206
the NO.5132 classifier came back with: 1, the real answer is: 1, error count is: 206
the NO.5133 classifier came back with: 0, the real answer is: 0, error count is: 206
the NO.5134 classifier came back with: 5, the real answer is: 5, error count is: 206
the NO.5135 classifier came back with: 9, the real answer is: 9, error count is: 206
the NO.5136 classifier came back with: 6, the real answer is: 6, error count is: 206
the NO.5137 classifier came back with: 9, the real answer is: 9, error count is: 206
the NO.5138 classifier came back with: 8, the real answer is: 8, error count is: 206
the NO.5139 classifier came back with: 0, the real answer is: 0, error count is: 206
the NO.5140 classifier came back with: 3, the real answer is: 3, error count is: 206
the NO.5141 classifier came back with: 0, the real answer is: 0, error count is: 206
the NO.5142 classifier came back with: 8, the real answer is: 8, error count is: 206
the NO.5143 classifier came back with: 3, the real answer is: 3, error count is: 206
the NO.5144 classifier came back with: 9, the real answer is: 9, error count is: 206
the NO.5145 classifier came back with: 6, the real answer is: 6, error count is: 206
the NO.5146 classifier came back with: 3, the real answer is: 3, error count is: 206
the NO.5147 classifier came back with: 0, the real answer is: 0, error count is: 206
the NO.5148 classifier came back with: 1, the real answer is: 1, error count is: 206
the NO.5149 classifier came back with: 2, the real answer is: 2, error count is: 206
the NO.5150 classifier came back with: 3, the real answer is: 3, error count is: 206
the NO.5151 classifier came back with: 4, the real answer is: 4, error count is: 206
the NO.5152 classifier came back with: 5, the real answer is: 5, error count is: 206
the NO.5153 classifier came back with: 6, the real answer is: 6, error count is: 206
the NO.5154 classifier came back with: 7, the real answer is: 7, error count is: 206
the NO.5155 classifier came back with: 0, the real answer is: 0, error count is: 206
the NO.5156 classifier came back with: 1, the real answer is: 1, error count is: 206
the NO.5157 classifier came back with: 2, the real answer is: 2, error count is: 206
the NO.5158 classifier came back with: 3, the real answer is: 3, error count is: 206
the NO.5159 classifier came back with: 4, the real answer is: 4, error count is: 206
the NO.5160 classifier came back with: 5, the real answer is: 5, error count is: 206
the NO.5161 classifier came back with: 6, the real answer is: 6, error count is: 206
the NO.5162 classifier came back with: 7, the real answer is: 7, error count is: 206
the NO.5163 classifier came back with: 8, the real answer is: 8, error count is: 206
the NO.5164 classifier came back with: 9, the real answer is: 9, error count is: 206
the NO.5165 classifier came back with: 0, the real answer is: 0, error count is: 206
the NO.5166 classifier came back with: 1, the real answer is: 1, error count is: 206
the NO.5167 classifier came back with: 2, the real answer is: 2, error count is: 206
the NO.5168 classifier came back with: 3, the real answer is: 3, error count is: 206
the NO.5169 classifier came back with: 4, the real answer is: 4, error count is: 206
the NO.5170 classifier came back with: 5, the real answer is: 5, error count is: 206
the NO.5171 classifier came back with: 6, the real answer is: 6, error count is: 206
the NO.5172 classifier came back with: 7, the real answer is: 7, error count is: 206
the NO.5173 classifier came back with: 8, the real answer is: 8, error count is: 206
the NO.5174 classifier came back with: 5, the real answer is: 5, error count is: 206
the NO.5175 classifier came back with: 4, the real answer is: 4, error count is: 206
the NO.5176 classifier came back with: 4, the real answer is: 8, error count is: 206
the NO.5177 classifier came back with: 7, the real answer is: 7, error count is: 207
the NO.5178 classifier came back with: 4, the real answer is: 4, error count is: 207
the NO.5179 classifier came back with: 7, the real answer is: 7, error count is: 207
the NO.5180 classifier came back with: 7, the real answer is: 7, error count is: 207
the NO.5181 classifier came back with: 3, the real answer is: 3, error count is: 207
the NO.5182 classifier came back with: 9, the real answer is: 9, error count is: 207
the NO.5183 classifier came back with: 8, the real answer is: 8, error count is: 207
the NO.5184 classifier came back with: 8, the real answer is: 8, error count is: 207
the NO.5185 classifier came back with: 3, the real answer is: 3, error count is: 207
the NO.5186 classifier came back with: 1, the real answer is: 1, error count is: 207
the NO.5187 classifier came back with: 5, the real answer is: 5, error count is: 207
the NO.5188 classifier came back with: 8, the real answer is: 8, error count is: 207
the NO.5189 classifier came back with: 2, the real answer is: 2, error count is: 207
the NO.5190 classifier came back with: 7, the real answer is: 7, error count is: 207
the NO.5191 classifier came back with: 4, the real answer is: 4, error count is: 207
the NO.5192 classifier came back with: 2, the real answer is: 2, error count is: 207
the NO.5193 classifier came back with: 1, the real answer is: 1, error count is: 207
the NO.5194 classifier came back with: 5, the real answer is: 5, error count is: 207
the NO.5195 classifier came back with: 4, the real answer is: 4, error count is: 207
the NO.5196 classifier came back with: 5, the real answer is: 5, error count is: 207
the NO.5197 classifier came back with: 5, the real answer is: 5, error count is: 207
the NO.5198 classifier came back with: 8, the real answer is: 8, error count is: 207
the NO.5199 classifier came back with: 4, the real answer is: 6, error count is: 207
the NO.5200 classifier came back with: 4, the real answer is: 4, error count is: 208
the NO.5201 classifier came back with: 4, the real answer is: 4, error count is: 208
the NO.5202 classifier came back with: 4, the real answer is: 4, error count is: 208
the NO.5203 classifier came back with: 1, the real answer is: 1, error count is: 208
the NO.5204 classifier came back with: 8, the real answer is: 8, error count is: 208
the NO.5205 classifier came back with: 7, the real answer is: 7, error count is: 208
the NO.5206 classifier came back with: 5, the real answer is: 5, error count is: 208
the NO.5207 classifier came back with: 5, the real answer is: 5, error count is: 208
the NO.5208 classifier came back with: 1, the real answer is: 1, error count is: 208
the NO.5209 classifier came back with: 5, the real answer is: 8, error count is: 208
the NO.5210 classifier came back with: 9, the real answer is: 9, error count is: 209
the NO.5211 classifier came back with: 1, the real answer is: 1, error count is: 209
the NO.5212 classifier came back with: 3, the real answer is: 3, error count is: 209
the NO.5213 classifier came back with: 6, the real answer is: 6, error count is: 209
the NO.5214 classifier came back with: 3, the real answer is: 3, error count is: 209
the NO.5215 classifier came back with: 3, the real answer is: 3, error count is: 209
the NO.5216 classifier came back with: 2, the real answer is: 2, error count is: 209
the NO.5217 classifier came back with: 2, the real answer is: 2, error count is: 209
the NO.5218 classifier came back with: 6, the real answer is: 6, error count is: 209
the NO.5219 classifier came back with: 9, the real answer is: 9, error count is: 209
the NO.5220 classifier came back with: 9, the real answer is: 9, error count is: 209
the NO.5221 classifier came back with: 6, the real answer is: 6, error count is: 209
the NO.5222 classifier came back with: 5, the real answer is: 5, error count is: 209
the NO.5223 classifier came back with: 5, the real answer is: 5, error count is: 209
the NO.5224 classifier came back with: 3, the real answer is: 3, error count is: 209
the NO.5225 classifier came back with: 3, the real answer is: 3, error count is: 209
the NO.5226 classifier came back with: 8, the real answer is: 8, error count is: 209
the NO.5227 classifier came back with: 1, the real answer is: 1, error count is: 209
the NO.5228 classifier came back with: 6, the real answer is: 6, error count is: 209
the NO.5229 classifier came back with: 5, the real answer is: 5, error count is: 209
the NO.5230 classifier came back with: 6, the real answer is: 6, error count is: 209
the NO.5231 classifier came back with: 8, the real answer is: 8, error count is: 209
the NO.5232 classifier came back with: 1, the real answer is: 1, error count is: 209
the NO.5233 classifier came back with: 9, the real answer is: 9, error count is: 209
the NO.5234 classifier came back with: 7, the real answer is: 7, error count is: 209
the NO.5235 classifier came back with: 6, the real answer is: 6, error count is: 209
the NO.5236 classifier came back with: 8, the real answer is: 8, error count is: 209
the NO.5237 classifier came back with: 3, the real answer is: 3, error count is: 209
the NO.5238 classifier came back with: 7, the real answer is: 7, error count is: 209
the NO.5239 classifier came back with: 4, the real answer is: 4, error count is: 209
the NO.5240 classifier came back with: 7, the real answer is: 7, error count is: 209
the NO.5241 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5242 classifier came back with: 9, the real answer is: 9, error count is: 209
the NO.5243 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5244 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5245 classifier came back with: 3, the real answer is: 3, error count is: 209
the NO.5246 classifier came back with: 7, the real answer is: 7, error count is: 209
the NO.5247 classifier came back with: 9, the real answer is: 9, error count is: 209
the NO.5248 classifier came back with: 3, the real answer is: 3, error count is: 209
the NO.5249 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5250 classifier came back with: 2, the real answer is: 2, error count is: 209
the NO.5251 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5252 classifier came back with: 1, the real answer is: 1, error count is: 209
the NO.5253 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5254 classifier came back with: 1, the real answer is: 1, error count is: 209
the NO.5255 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5256 classifier came back with: 4, the real answer is: 4, error count is: 209
the NO.5257 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5258 classifier came back with: 1, the real answer is: 1, error count is: 209
the NO.5259 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5260 classifier came back with: 4, the real answer is: 4, error count is: 209
the NO.5261 classifier came back with: 7, the real answer is: 7, error count is: 209
the NO.5262 classifier came back with: 9, the real answer is: 9, error count is: 209
the NO.5263 classifier came back with: 6, the real answer is: 6, error count is: 209
the NO.5264 classifier came back with: 2, the real answer is: 2, error count is: 209
the NO.5265 classifier came back with: 6, the real answer is: 6, error count is: 209
the NO.5266 classifier came back with: 2, the real answer is: 2, error count is: 209
the NO.5267 classifier came back with: 2, the real answer is: 2, error count is: 209
the NO.5268 classifier came back with: 9, the real answer is: 9, error count is: 209
the NO.5269 classifier came back with: 9, the real answer is: 9, error count is: 209
the NO.5270 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5271 classifier came back with: 1, the real answer is: 1, error count is: 209
the NO.5272 classifier came back with: 2, the real answer is: 2, error count is: 209
the NO.5273 classifier came back with: 3, the real answer is: 3, error count is: 209
the NO.5274 classifier came back with: 4, the real answer is: 4, error count is: 209
the NO.5275 classifier came back with: 5, the real answer is: 5, error count is: 209
the NO.5276 classifier came back with: 6, the real answer is: 6, error count is: 209
the NO.5277 classifier came back with: 7, the real answer is: 7, error count is: 209
the NO.5278 classifier came back with: 8, the real answer is: 8, error count is: 209
the NO.5279 classifier came back with: 9, the real answer is: 9, error count is: 209
the NO.5280 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5281 classifier came back with: 1, the real answer is: 1, error count is: 209
the NO.5282 classifier came back with: 2, the real answer is: 2, error count is: 209
the NO.5283 classifier came back with: 3, the real answer is: 3, error count is: 209
the NO.5284 classifier came back with: 4, the real answer is: 4, error count is: 209
the NO.5285 classifier came back with: 5, the real answer is: 5, error count is: 209
the NO.5286 classifier came back with: 6, the real answer is: 6, error count is: 209
the NO.5287 classifier came back with: 7, the real answer is: 7, error count is: 209
the NO.5288 classifier came back with: 8, the real answer is: 8, error count is: 209
the NO.5289 classifier came back with: 9, the real answer is: 9, error count is: 209
the NO.5290 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5291 classifier came back with: 1, the real answer is: 1, error count is: 209
the NO.5292 classifier came back with: 2, the real answer is: 2, error count is: 209
the NO.5293 classifier came back with: 3, the real answer is: 3, error count is: 209
the NO.5294 classifier came back with: 4, the real answer is: 4, error count is: 209
the NO.5295 classifier came back with: 5, the real answer is: 5, error count is: 209
the NO.5296 classifier came back with: 6, the real answer is: 6, error count is: 209
the NO.5297 classifier came back with: 7, the real answer is: 7, error count is: 209
the NO.5298 classifier came back with: 8, the real answer is: 8, error count is: 209
the NO.5299 classifier came back with: 9, the real answer is: 9, error count is: 209
the NO.5300 classifier came back with: 8, the real answer is: 8, error count is: 209
the NO.5301 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5302 classifier came back with: 5, the real answer is: 5, error count is: 209
the NO.5303 classifier came back with: 6, the real answer is: 6, error count is: 209
the NO.5304 classifier came back with: 6, the real answer is: 6, error count is: 209
the NO.5305 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5306 classifier came back with: 8, the real answer is: 8, error count is: 209
the NO.5307 classifier came back with: 0, the real answer is: 0, error count is: 209
the NO.5308 classifier came back with: 2, the real answer is: 2, error count is: 209
the NO.5309 classifier came back with: 3, the real answer is: 3, error count is: 209
the NO.5310 classifier came back with: 7, the real answer is: 7, error count is: 209
